issue_id,name,ticket_type,description,creation_date,last_updated
A01,Software Issue,Technical Support,Issues related to software malfunctioning or errors.,6/27/2024 12:12,6/27/2024 12:12
A02,Hardware Issue,Technical Support,Problems with physical components of devices.,6/27/2024 12:12,6/27/2024 12:12
A03,Network Connectivity,Technical Support,Difficulties in connecting to the network.,6/27/2024 12:12,6/27/2024 12:12
A04,System Crash,Technical Support,Unexpected shutdown or failure of a system.,6/27/2024 12:12,6/27/2024 12:12
A05,Bug Report,Technical Support,Reporting bugs or glitches in the system.,6/27/2024 12:12,6/27/2024 12:12
B01,Invoice Request,Billing and Payments,Request for a detailed bill or invoice.,6/27/2024 12:12,6/27/2024 12:12
B02,Refund Request,Billing and Payments,Asking for money back for a service or product.,6/27/2024 12:12,6/27/2024 12:12
B03,Payment Issue,Billing and Payments,Problems related to payments.,6/27/2024 12:12,6/27/2024 12:12
B04,Subscription Cancellation,Billing and Payments,Request to cancel a subscription.,6/27/2024 12:12,6/27/2024 12:12
B05,Billing Error,Billing and Payments,Discrepancies or mistakes in billing.,6/27/2024 12:12,6/27/2024 12:12
C01,Account Setup,Account Management,Help with setting up a new account.,6/27/2024 12:12,6/27/2024 12:12
C02,Password Reset,Account Management,Assistance with resetting a forgotten password.,6/27/2024 12:12,6/27/2024 12:12
C03,Account Lockout,Account Management,Unable to access account due to lockout.,6/27/2024 12:12,6/27/2024 12:12
C04,Profile Update,Account Management,Changes or updates to profile information.,6/27/2024 12:12,6/27/2024 12:12
C05,Account Deactivation,Account Management,Request to deactivate an account.,6/27/2024 12:12,6/27/2024 12:12
D01,Product Inquiry,Product Information,Questions about a product.,6/27/2024 12:12,6/27/2024 12:12
D02,Feature Request,Product Information,Suggestions for new features or improvements.,6/27/2024 12:12,6/27/2024 12:12
D03,Availability Check,Product Information,Inquiring about the availability of a product.,6/27/2024 12:12,6/27/2024 12:12
D04,Product Comparison,Product Information,Comparing different products.,6/27/2024 12:12,6/27/2024 12:12
D05,Pre-sales Query,Product Information,Questions before making a purchase.,6/27/2024 12:12,6/27/2024 12:12
E01,Order Status,Order Management,Checking the status of an order.,6/27/2024 12:12,6/27/2024 12:12
E02,Order Cancellation,Order Management,Request to cancel an order.,6/27/2024 12:12,6/27/2024 12:12
E03,Shipping Issue,Order Management,Problems related to shipping.,6/27/2024 12:12,6/27/2024 12:12
E04,Return/Exchange Request,Order Management,Request to return or exchange a product.,6/27/2024 12:12,6/27/2024 12:12
E05,Lost/Damaged Order,Order Management,Report of lost or damaged order.,6/27/2024 12:12,6/27/2024 12:12
F01,Complaint,Customer Feedback,Filing a complaint.,6/27/2024 12:12,6/27/2024 12:12
F02,Suggestion,Customer Feedback,Providing suggestions for improvement.,6/27/2024 12:12,6/27/2024 12:12
F03,Praise,Customer Feedback,Positive feedback or commendations.,6/27/2024 12:12,6/27/2024 12:12
F04,Survey Response,Customer Feedback,Feedback from a survey.,6/27/2024 12:12,6/27/2024 12:12
F05,Service Feedback,Customer Feedback,Feedback on service received.,6/27/2024 12:12,6/27/2024 12:12
G01,Service Information,General Inquiry,Information about services offered.,6/27/2024 12:12,6/27/2024 12:12
G02,Business Hours,General Inquiry,Inquiring about business hours.,6/27/2024 12:12,6/27/2024 12:12
G03,Contact Information,General Inquiry,Request for contact details.,6/27/2024 12:12,6/27/2024 12:12
G04,Location Query,General Inquiry,Questions about location.,6/27/2024 12:12,6/27/2024 12:12
G05,Policy Inquiry,General Inquiry,Inquiring about company policies.,6/27/2024 12:12,6/27/2024 12:12
H01,Installation Request,Service Request,Request for installation of a product or service.,6/27/2024 12:12,6/27/2024 12:12
H02,Maintenance Request,Service Request,Request for maintenance services.,6/27/2024 12:12,6/27/2024 12:12
H03,Upgrade Request,Service Request,Request to upgrade a product or service.,6/27/2024 12:12,6/27/2024 12:12
H04,Customization Request,Service Request,Request for customization services.,6/27/2024 12:12,6/27/2024 12:12
H05,Training Request,Service Request,Request for training on a product or service.,6/27/2024 12:12,6/27/2024 12:12
